BASE_YR,BASE_MM,AGFD_PDLT_NM,PDTN_QY
2020,06,브로콜리,66234
2020,06,블루베리,87205
2020,06,비트,233235
2020,06,빨간양배추,29750
2020,06,사과,2764482
2020,06,산딸기,6933
2020,06,살구,7428
2020,06,상추,247504
2020,06,새싹채소,735
2020,06,생강,13242
2020,06,석류,13455
2020,06,수박,10199355
2020,06,수입과일,898088
2020,06,숙주,54726
2020,06,시금치,472564
2020,06,쌈추,9516
2020,06,쑥갓,11734
2020,06,아욱,427
2020,06,애플수박,27779
2020,06,애호박,560666
2020,06,양배추,1453912
2020,06,양상추,378984
2020,06,양파,3078534
2020,06,얼갈이,4949
2020,06,연근,11520
2020,06,열무,83128
2020,06,열무 얼갈이,81924
2020,06,오디 국산,1976
2020,06,오렌지,13455
2020,06,오이,1153809
2020,06,옥수수,312048
2020,06,완두콩,60425
2020,06,인삼,3881
2020,06,잎마늘,1526
2020,06,자두,165201
2020,06,자몽,13455
2020,06,쪽파,103133
2020,06,찰옥수수,2128863
2020,06,참나물,6930
2020,06,참다래 국산,26934
2020,06,참외,242111
2020,06,청경채,16087
2020,06,청양고추,30900
2020,06,체리,7064
2020,06,취나물,3308
2020,06,츄키니,16324
2020,06,케일,594
2020,06,콜라비,2987
2020,06,콩나물,388068
2020,06,키위,3400
2020,06,토마토,2344786
2020,06,토마토(방울),1082543
2020,06,파세리,30619
2020,06,파인애플,214905
2020,06,파채,66308
2020,06,파프리카,347727
2020,06,포도,806549
2020,06,풋고추,184496
2020,06,풋옥수수,32830
2020,06,피망,4519
2020,06,호박,734847
2020,06,홍갓,57130
2020,06,홍고추,3840
2020,07,가지,890951
2020,07,감,127165
2020,07,감귤,758132
2020,07,감자,1528343
2020,07,갓,4418
2020,07,건가지,1138
2020,07,건고추,31866
2020,07,건취나물,2065
2020,07,고구마,1488872
2020,07,고구마순,1685
2020,07,고사리,9651
2020,07,고추,688619
2020,07,곶감,9018
2020,07,근대,97006
2020,07,기장,3122
2020,07,기타잡곡류,12413
2020,07,깐마늘,214138
2020,07,깐양파,111755
2020,07,깻잎,100609
2020,07,냉이,7274
2020,07,늙은호박,77177
2020,07,단감,231513
2020,07,단호박,21530
2020,07,달래,11253
2020,07,당근,1161188
2020,07,대추,80245
2020,07,대파,1254350
2020,07,더덕,36601
2020,07,도라지,17489
2020,07,돈나물,4018
2020,07,돌나물,5207
2020,07,두릅,6494
2020,07,딸기,333526
2020,07,레몬,8191
2020,07,마,5881
2020,07,마늘,736303
2020,07,마늘 쫑,1492
2020,07,매실,11150
2020,07,메론,1243017
2020,07,모둠쌈,65514
2020,07,무,1989463
2020,07,무화과,153200
2020,07,물미역(청과),2469
2020,07,미나리,40014
2020,07,바나나,97732
2020,07,바나나 국산,1980
2020,07,밤,174339
2020,07,방울,19020
2020,07,배,703922
2020,07,배추,1226324
2020,07,배추얼갈이,129197
2020,07,버섯,1807629
2020,07,보리,3568
2020,07,복수박,189306
2020,07,복숭아,658814
2020,07,부추,99232
2020,07,브로코리,283216
2020,07,브로콜리,85126
2020,07,블루베리,48121
2020,07,비트,325411
2020,07,빨간양배추,62092
2020,07,사과,2367831
2020,07,산딸기,4186
2020,07,살구,37116
2020,07,상추,221401
2020,07,새싹채소,759
2020,07,생강,12911
2020,07,석류,8191
2020,07,세러리,660
2020,07,수박,7962191
2020,07,수입과일,1115128
2020,07,숙주,63149
2020,07,시금치,515196
2020,07,신선초,660
2020,07,쌈채,10131
2020,07,쌈추,11673
2020,07,쑥갓,576
2020,07,아욱,455
2020,07,애플수박,4148
2020,07,애호박,519658
2020,07,양배추,1715918
2020,07,양상추,366289
2020,07,양파,2481785
2020,07,얼갈이,3865
2020,07,연근,4290
2020,07,열무,76566
2020,07,열무 얼갈이,91780
2020,07,오디 국산,31866
2020,07,오렌지,8191
2020,07,오이,1025267
2020,07,옥수수,375400
2020,07,완두콩,137919
2020,07,인삼,3889
2020,07,잎마늘,648
2020,07,자두,388732
2020,07,자몽,8191
2020,07,쪽파,105764
2020,07,찰옥수수,447249
2020,07,참나물,37560
2020,07,참다래 국산,30312
2020,07,참외,190414
2020,07,청경채,16669
2020,07,청양고추,42576
2020,07,체리,4301
2020,07,취나물,36739
2020,07,츄키니,12201
2020,07,케일,660
2020,07,콜라비,3297
2020,07,콩나물,362261
2020,07,토마토,2122855
2020,07,토마토(방울),910935
2020,07,파세리,29823
2020,07,파인애플,108592
2020,07,파채,24668
2020,07,파프리카,309747
2020,07,포도,662821
2020,07,풋고추,237118
2020,07,풋옥수수,212365
2020,07,피망,4078
2020,07,호박,997943
2020,07,홍갓,54390
2020,07,홍고추,18072
2020,08,가지,850005
2020,08,감,65281
2020,08,감귤,815842
2020,08,감자,1356614
2020,08,갓,5142
2020,08,건가지,1092
2020,08,건고추,55600
2020,08,건취나물,5928
2020,08,고구마,1572947
2020,08,고구마순,1732
2020,08,고사리,9376
2020,08,고추,612871
2020,08,곶감,7140
2020,08,근대,99693
2020,08,기장,77
2020,08,기타잡곡류,1940
2020,08,깐마늘,246157
2020,08,깐양파,108139
2020,08,깻잎,44099
2020,08,냉이,9270
2020,08,늙은호박,71825
2020,08,단감,164461
2020,08,단호박,49421
2020,08,달래,12574
2020,08,당근,912232
2020,08,대추,64586
2020,08,대파,2439170
2020,08,더덕,35304
2020,08,도라지,19624
2020,08,돈나물,3662
2020,08,돌나물,7171
2020,08,두릅,5746
2020,08,딸기,221185
2020,08,레몬,6014
2020,08,마,2232
2020,08,마늘,767166
2020,08,마늘 쫑,2430
2020,08,매실,677
2020,08,메론,958020
2020,08,모둠쌈,61692
2020,08,무,1830860
2020,08,무화과,171721
2020,08,물미역(청과),2948
2020,08,미나리,24089
