"자치구 코드","자치구명","전통시장명","주소명","위도","경도"
"20","영등포구","양남시장","양평동1가 31","37.5232146","126.8904615"
"15","서초구","양재시장","양재1동 1-78-1","37.4843575","127.0379452"
"2","강동구","양지골목시장","암사동 450-5 일대","37.5556317","127.1368026"
"22","은평구","양지시장","응암동 754-1","37.5867628","126.9176104"
"2","강동구","양지종합시장","강동구 암사3동 450-3","37.5556329","127.1365727"
"20","영등포구","양평시장","영등포구 양평동4가 161-180","37.5369869","126.8975189"
"24","중구","에리어식스","신당동 776","37.5681165","127.0119499"
"1","강남구","역삼종합시장","역삼동796-22","37.492866","127.0391023"
"22","은평구","역촌중앙시장","갈현동 467-1","37.6132801","126.9161603"
"22","은평구","연서시장","불광동 310-131","37.6194295","126.9219484"
"22","은평구","연신내상점가","갈현동 393-15 일대","37.6225222","126.9190746"
"14","서대문구","연희사러가","연희동 131-1","37.5671143","126.9296233"
"13","마포구","염리시장","염리동 36-249","37.5505872","126.9468413"
"12","동작구","영도시장","상도동176","37.5043756","126.9404131"
"6","광진구","영동교골목시장","자양동 246-111","37.5379791","127.0633222"
"1","강남구","영동전통시장","논현동140외 44필지","37.5099317","127.0236485"
"20","영등포구","영등포기계상가","양평동1가 247","37.5233737","126.8862462"
"20","영등포구","영등포로타리지하도상점가","영등포구 영등포동3가 441","37.518","126.9082"
"20","영등포구","영등포시장기계공구상가","영등포동2가 234","37.5212005","126.9095921"
"20","영등포구","영등포시장지하도상점가","영등포동5가 20","37.5203178","126.905811"
"20","영등포구","영등포역지하도상점가","영등포동 618","37.5165086","126.9071731"
"20","영등포구","영등포유통상가","당산동2가 30-2","37.5224017","126.8939244"
"20","영등포구","영등포전통시장","영등포동 2가 335","37.5198516","126.9082668"
"20","영등포구","영신상가","영등포동5가 18","37.5197447","126.9067913"
"20","영등포구","영일시장","문래동3가 10","37.5160613","126.9006862"
"13","마포구","영진시장","서교동 485-14","37.553449","126.9126477"
