NTN_CODE,YR_INFO_CN,BASE_MM,BSIS_IVTY_QY,PDTN_QY,IMPT_QY,EPOT_QY,CSP_QY,TMED_IVTY_QY,DMTC_CSP_QY,SPLY_QY,PDLT_CODE,PDLT_NM,MDFCN_YMD,ETL_LDG_DT
206,2012/13,11,9.78,20.5,0.4,8,10.6,12.08,0,0,0101,½Ò,20130122,20210419165432
206,2012/13,12,9.78,20.5,0.4,8,10.6,12.08,0,0,0101,½Ò,20130122,20210419165432
221,2012/13,11,1.3,6.33,0.65,3.28,4.04,0.96,0,0,0101,½Ò,20130122,20210419165432
221,2012/13,12,1.3,6.33,0.65,3.35,3.98,0.96,0,0,0101,½Ò,20130122,20210419165432
170,2012/13,11,0.81,6.7,0.05,4,2.65,0.91,0,0,0101,½Ò,20130122,20210419165432
170,2012/13,12,0.81,6.7,0.05,4,2.65,0.91,0,0,0101,½Ò,20130122,20210419165432
229,2012/13,11,1.86,27.1,0.4,7,20.1,2.26,0,0,0101,½Ò,20130122,20210419165432
229,2012/13,12,1.77,27.71,0.2,7,20.1,2.58,0,0,0101,½Ò,20130122,20210419165432
062,2012/13,11,0.7,4.7,0.15,0.85,3.9,0.8,0,0,0101,½Ò,20130122,20210419165432
062,2012/13,12,0.7,4.7,0.15,0.85,3.9,0.8,0,0,0101,½Ò,20130122,20210419165432
169,2012/13,11,1.81,11,1.5,0,12.95,1.36,0,0,0101,½Ò,20130122,20210419165432
169,2012/13,12,1.81,11,1.5,0,12.95,1.36,0,0,0101,½Ò,20130122,20210419165432
221,2011/12,06,1.51,5.87,0.62,3.22,3.47,1.3,0,0,0101,½Ò,20130613,20210419165432
170,2011/12,06,0.5,6.2,0.05,3.46,2.55,0.75,0,0,0101,½Ò,20130613,20210419165432
206,2011/12,06,5.62,20.46,0.6,6.95,10.4,9.33,0,0,0101,½Ò,20130613,20210419165432
097,2011/12,06,6.18,36.5,1.96,0,39.55,5.09,0,0,0101,½Ò,20130613,20210419165432
046,2011/12,06,42.57,140.7,1.79,0.44,139.6,45.02,0,0,0101,½Ò,20130613,20210419165432
248,2012/13,06,104.84,470.19,35.54,38.14,469.25,105.78,0,0,0101,½Ò,20130613,20210419165432
170,2012/13,06,0.75,6,0.04,3.2,2.69,0.9,0,0,0101,½Ò,20130613,20210419165432
229,2012/13,06,1.83,27.65,0.1,7.4,20.1,2.08,0,0,0101,½Ò,20130613,20210419165432
169,2012/13,06,1.51,11.35,1.5,0,12.93,1.43,0,0,0101,½Ò,20130613,20210419165432
062,2012/13,06,0.49,4.68,0.05,0.85,3.9,0.46,0,0,0101,½Ò,20130613,20210419165432
248,2013/14,06,105.78,479.16,36.02,38.41,476.32,108.62,0,0,0101,½Ò,20130613,20210419165432
221,2013/14,06,1.08,6.04,0.71,3.12,3.66,1.05,0,0,0101,½Ò,20130613,20210419165432
100,2013/14,06,24,108,0,8.5,98.5,25,0,0,0101,½Ò,20130613,20210419165432
170,2013/14,06,0.9,6.2,0,3.2,2.7,1.2,0,0,0101,½Ò,20130613,20210419165432
206,2013/14,06,12.13,21.1,0.6,8,10.6,15.23,0,0,0101,½Ò,20130613,20210419165432
229,2013/14,06,2.08,27.85,0.1,7.7,20.6,1.73,0,0,0101,½Ò,20130613,20210419165432
097,2013/14,06,4.09,37.7,1.5,0,40.3,2.99,0,0,0101,½Ò,20130613,20210419165432
169,2013/14,06,1.43,11.7,1.2,0,12.93,1.41,0,0,0101,½Ò,20130613,20210419165432
046,2013/14,06,46.62,144,3,0.2,147,46.42,0,0,0101,½Ò,20130613,20210419165432
062,2013/14,05,0.46,4.85,0.03,0.85,4,0.49,0,0,0101,½Ò,20130613,20210419165432
248,2011/12,06,98.73,465.81,35.46,39.11,459.7,104.84,0,0,0101,½Ò,20130613,20210419165432
100,2011/12,06,23.5,105.31,0,10.38,93.33,25.1,0,0,0101,½Ò,20130613,20210419165432
229,2011/12,06,1.94,27.15,0.1,7.72,19.65,1.83,0,0,0101,½Ò,20130613,20210419165432
169,2011/12,06,2.46,10.7,1.2,0,12.85,1.51,0,0,0101,½Ò,20130613,20210419165432
062,2011/12,06,0.12,4.25,0.34,0.6,3.62,0.49,0,0,0101,½Ò,20130613,20210419165432
